categories,deal_features,merchant,mini_info,promotion_title,rel_location,state,total_ratings,url
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choose Between Two Options,$45 for one haircut, deep-conditioning treatment, and blow-dry ($130 value),$99 for one haircut and deep-conditioning treatment with single process color, full highlights, ombre, or balayage ($305 value),Hair Conditioner: Ticket to a Molecular Makeover,Your hair’s sure to feel silkier once your stylist conditions it—learn why with Groupon’s close-up look at conditioner.,Although human hair may look smooth, each strand’s outer layer—the cuticle—is actually quite rough. Under dry conditions, the tiny scales that cover its surface become raised and brittle, causing hairs to tangle and lose their shine. Conditioner aims to correct this problem by bonding a particular class of molecules, called cationic surfactants, to the cuticle. This is possible because keratin, the protein that makes up most of the hair shaft, bristles with negative ions, which attract the positively charged surfactants, coating each thread in a thin film that weighs it down and reduces frizz. (The negative charge of keratin is also what causes static whenever positive ions are stripped from the hair—the static that makes it possible to stick a balloon to the wall or to power a miner’s headlamp.),The other ingredients in conditioner don’t always need ions to do their jobs well. Humectants suck in water from the surrounding air, thereby moisturizing the hair, and oils simply penetrate the cuticle. Glossers coat the hair with light-reflecting polymers, increasing shine, whereas other ingredients raise the acidity level of the conditioner, which helps protect the hair’s protein structure.",Evolve Salon,"Limited Time Remaining!,100+ viewed today,171 Ratings","One Haircut, Deep Conditioning, and Blow-Dry or Highlights, Ombre, or Balayage at Evolve Salon (Up to 68% Off)",Evolve Salon,New York,171 Ratings,https://www.groupon.com/deals/evolve-salon-4
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Choose Between Two Options,$25 for one Brazilian chocolate wax ($45 value),$50 for two Brazilian chocolate waxes ($90 value),Below the Belt: Choosing Between a Brazilian and a Bikini Wax,The difference between a bikini and Brazilian wax is simple yet significant. Check out our guide to help you choose the right one for you.,Both waxing styles involve using hot wax to remove hair from the area below the waist, but the distinction lies in the degree of hair being removed. During a basic bikini wax, an aesthetician removes hair from any area exposed by a typical bathing suit made of fig leaves. This includes the top and sides of the bikini line as well as the inner thighs, if necessary. The Brazilian wax takes it a step further, removing hair from the entire region, front to back. Since many clients prefer to leave a small, trimmed swath of hair in a strip or triangle just below the panty line, some aestheticians may use the term “full Brazilian” to refer to a session in which no hair is left behind.,Naturally, due to the sensitivity of the areas involved, Brazilians tend to be more painful than basic bikini waxes, and most aestheticians will take care to avoid causing pain during the procedure. There are also several steps you can take to minimize discomfort. Experts recommend avoiding any appointment within a week of menstruation, when the skin is most sensitive, and taking an anti-inflammatory such as ibuprofen 30 minutes beforehand can help reduce any swelling that results.","Precise Brows, Inc.","Limited Time Remaining!,Up to 44% Off,20 Ratings",One or Two Brazilian Chocolate Waxes at Precise Brows (Up to 44% Off),Murray Hill,New York,20 Ratings,https://www.groupon.com/deals/precise-brows-inc
"Local,Food & Drink,Restaurants,Latin American Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 30% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",The Soul Spot,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 30% Cash Back,10% Cash Back After That",30% Cash Back at The Soul Spot,Boerum Hill,New York,299 Ratings,https://www.groupon.com/deals/the-soul-spot-1
"Local,Beauty & Spas,Spas,Saunas","What You'll Get,Choice of:,One Infrared Sauna Session,Five Infrared Sauna Sessions,Ten Infrared Sauna Sessions",Manhattan Physio Group,"Limited Time Remaining!,50+ viewed today,3 Ratings","One, Five, or Ten Infrared Sauna Sessions at Manhattan Physio Group (Up to 52% Off)",New York,New York,3 Ratings,https://www.groupon.com/deals/manhattan-physio-group
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choice of:,Single Process Roots-Only Color and Blowout,Full Highlights with Blow Dry,Balayage Color and Blow Dry",Aaron Emanuel Salon,"Limited Time Remaining!,150+ viewed today,183 Ratings","Single Process Roots-Only Color, Full Highlights, or Balayage + Blow Dry at Aaron Emanuel Salon (Up to 53% Off)",Upper East Side,New York,183 Ratings,https://www.groupon.com/deals/aaron-emanuel-salon-1-3
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,Choose Between Two Options,$44 for dinner for two with a choice of two soups or two apps, two entrees, and two glasses of wine ($70 value),$88 for dinner for four with a choice of four soups or four apps, four entrees, and four glasses of wine ($140 value),See the,menu",One Thai Chef,"Limited Time Remaining!,100+ viewed today,1,130 Ratings",Thai Dinner for Two or Four at One Thai Chef (Up to 37% Off),One Thai Chef,New York,"1,130 Ratings",https://www.groupon.com/deals/one-thai-chef-1
"Local,Beauty & Spas,Massage,Couples Massage","What You'll Get,Choose from Three Options,$48 for a one-hour aromatherapy or deep-tissue massage ($139 value),$95 for a one-hour couples massage ($279 value),$138 for three one-hour aromatherapy or deep-tissue massages ($417 value)",Pro Skincare & Day Spa Inc,"Limited Time Remaining!,100+ viewed today,703 Ratings",Massages at Pro Skincare & Day Spa Inc (Up to 67% Off). Three Options Available.,New York,New York,703 Ratings,https://www.groupon.com/deals/pro-skincare-day-spa-inc-2
"Local,Food & Drink,Restaurants,Italian Restaurants","What You'll Get,Choose Between Two Options,$23 for $40 worth of food; must purchase at least two entrees from the dinner menu,$45 for $80 worth of food; must purchase at least four entrees from the dinner menu,See the,menu",Alex's Italian Restaurant,"Limited Time Remaining!,50+ viewed today,292 Ratings",Italian Dinner at Alex's Italian Restaurant (Up to 44% Off). Two Options Available.,The Waterfront,New York,292 Ratings,https://www.groupon.com/deals/alex-s-italian-restaurant
"Local,Food & Drink,Restaurants,American Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 25% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",New York Dog House,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 25% Cash Back,10% Cash Back After That",25% Cash Back at New York Dog House,Astoria,New York,493 Ratings,https://www.groupon.com/deals/new-york-dog-house-4
"Local,Food & Drink,Restaurants,Bar Food","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 20% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Promenade Bar & Grill,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 20% Cash Back,10% Cash Back After That",20% Cash Back at Promenade Bar & Grill,Midtown Manhattan,New York,16 Ratings,https://www.groupon.com/deals/promenade-bar-grill-3
"Local,Beauty & Spas,Massage,Full Body Massage","What You'll Get,The Deal,$54 for a 60-minute signature massage ($85 value)",Nirvana Wellness NYC,"Limited Time Remaining!,20+ viewed today,200 Ratings",$54 for a 60-Minute Signature Massage at Nirvana Wellness NYC ($85 Value),Midtown Manhattan,New York,200 Ratings,https://www.groupon.com/deals/nirvana-wellness-nyc-1
"Local,Beauty & Spas,Face & Skin Care,Facial Peel","What You'll Get,Choice of:,One chemical peel with hydrating mask facial,Three chemical peels with hydrating mask facials,Five chemical peels with hydrating mask facials,Chemical peels soften fine lines while removing the dull, scarred outer layer of skin to leave faces looking smoother, brighter, & younger,View Berry Blonde Spa’s other offers:,Facial Treatments,Tightening Treatment,Microdermabrasion with Facial,LED Light Therapy with Facial,Microcurrent Treatments",Berry Blonde Spa,"Limited Time Remaining!,50+ viewed today,173 Ratings","One, Three, or Five Chemical Peels with Hydrating Mask Facials at Berry Blonde Spa (Up to 77% Off)",New York,New York,173 Ratings,https://www.groupon.com/deals/berry-blonde-spa-3
"Local,Beauty & Spas,Brows & Lashes","What You'll Get,The Deal,$19 for eyebrow tweezing ($40 value)",Brows by Sebastian NYC,"Limited Time Remaining!,10+ viewed today,70 Ratings",$19 for Eyebrow Tweezing at Brows by Sebastian NYC ($40 Value),Midtown,New York,70 Ratings,https://www.groupon.com/deals/sebastian-makeup-1
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Choose from Three Options,$19 for one bikini wax ($35 value),$29 for one Brazilian wax ($60 value),$49 for two Brazilian waxes ($120 value)",Red And White Spa East Village,"Limited Time Remaining!,20+ viewed today,122 Ratings",Intimate Waxing at Red And White Spa East Village (Up to 59% Off). 3 Options Available.,Downtown Manhattan,New York,122 Ratings,https://www.groupon.com/deals/red-and-white-spa-48-third-ave-22
"Local,Food & Drink,Restaurants","What You'll Get,Choice of:,Brunch for Two People,Brunch for Four People,Brunch includes:,Unlimited bloody marys or mimosas,Choice of egg benedict, omelet any style, or steak and eggs,Fruit Cup",Statler Grill,"Limited Time Remaining!,150+ viewed today,6,408 Ratings",Brunch at Statler Grill (Up to 51% Off). Two Options Available.,Midtown,New York,"6,408 Ratings",https://www.groupon.com/deals/statler-grill-9
"Local,Food & Drink,Restaurants,Burgers","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 20% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Paul's Da Burger Joint,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 20% Cash Back,10% Cash Back After That",20% Cash Back at Paul's Da Burger Joint,East Village,New York,7 Ratings,https://www.groupon.com/deals/pauls-da-burger-joint
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choose Between Two Options,$45 for one natural eyelash extension set ($130 value),$55 for one romantic eyelash extension set ($150 value)",Anta Skin & Laser Spa,"Limited Time Remaining!,Up to 65% Off,165 Ratings",One Set of Natural or Romantic Eyelash Extensions at Anta Skin & Laser Spa (Up to 65% Off),Midtown Manhattan,New York,165 Ratings,https://www.groupon.com/deals/anta-skin-laser-spa-2
"Local,Food & Drink,Restaurants,Latin American Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 30% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Café Nunez,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 30% Cash Back,10% Cash Back After That",30% Cash Back at Café Nunez,Midtown Manhattan,New York,870 Ratings,https://www.groupon.com/deals/caf-nunez
"Local,Food & Drink,Restaurants,Latin American Restaurants","What You'll Get,A meal can bring friends closer together, much like a camping trip or a pact to never mention what happened on the camping trip ever again. Have an evening you’ll never forget with this voucher.,Choose from Four Options,$45 for a Latin-inspired meal for two (up to a $92 total value),$75 for a Latin-inspired meal for four (up to a $184 total value),$49 for a Latin-inspired meal for two, plus, one hookah to share (up to a $112 value),$79 for a Latin-inspired meal for four, plus, one hookah to share (up to a $204 value),The meal includes the following for each diner:,One hot or cold tapa, soup, or salad (up to a $12 value each),One entree (up to a $22 value each),One drink (up to a $12 value each),The,menu,draws influence from all over the Latin American cuisine map. Meals start off with tapas, such as peruvian ceviche or salads such as the ensalada de papa with potatoes, diced carrots, and eggs. Main courses skip over to the Caribbean for dishes such as mofongo—fried green plantains mashed together with chicharrones or bacon and vegetables, chicken, shrimp, or meat.,House drinks,come in several refreshing varieties, such as a traditional mojito, or more original options, such as a Honey Bee with vodka, amaretto liqueur, lemonade, and simple syrup. Those who opt to pair their meal with,hookah,(a $20 value) can choose from double-apple, strawberry, grape, peach, coconut, or mint flavors.",Cafe Nunez,"Limited Time Remaining!,100+ viewed today,870 Ratings","Latin-Inspired Meal with Appetizers, Drinks, and Optional Hookah for Two or Four at Cafe Nunez (Up to 61% Off)",Midtown Manhattan,New York,870 Ratings,https://www.groupon.com/deals/cafe-nunez-new-york
